wikidata_qid,wikidata_name,inat_taxon_id,inat_name,inat_rank,strategies,similarity,label,found_by_generation,notes
Q29588749,Abietinella,155572,Abietinella,genus,exact|trigram,1.0,0,True,
Q29588749,Abietinella,155573,Abietinella,genus,exact|trigram,1.0,1,True,
Q29588749,Abietinella,55322,Abietinaria,genus,trigram,0.7272727272727273,0,True,
Q29588749,Abietinella,211820,Ptinella,genus,trigram,0.6363636363636364,0,True,
Q29588749,Abietinella,157814,Abietinella abietina,species,trigram,0.55,0,True,
Q29588749,Abietinella,1122139,Abietinella abietina minor,subspecies,trigram,0.55,0,True,
Q29588749,Abietinella,1270178,Abietinella abietina hystricosa,variety,trigram,0.55,0,True,
Q29588749,Abietinella,1270176,Abietinella abietina abietina,variety,trigram,0.55,0,True,
Q29588749,Abietinella,1369648,Abietinella operculata,species,trigram,0.5,0,True,
Q29588749,Abietinella,60651,Abietinaria abietina,species,trigram,0.44999999999999996,0,True,
Q50749187,Ablabesmyia,247694,Ablabesmyia,genus,exact|trigram,1.0,0,True,
Q50749187,Ablabesmyia,549454,Ablabesmyia,subgenus,exact|trigram,1.0,1,True,
Q50749187,Ablabesmyia,385603,Ablabesmyia mala,species,trigram,0.6875,0,True,
Q50749187,Ablabesmyia,1101257,Ablabesmyia alba,species,trigram,0.6875,0,True,
Q50749187,Ablabesmyia,627385,Ablabesmyia janta,species,trigram,0.6470588235294117,0,True,
Q50749187,Ablabesmyia,1473604,Ablabesmyia hilli,species,trigram,0.6470588235294117,0,True,
Q50749187,Ablabesmyia,630363,Ablabesmyia phatta,species,trigram,0.6111111111111112,0,True,
Q50749187,Ablabesmyia,576342,Ablabesmyia rhamphe,species,trigram,0.5789473684210527,0,True,
Q50749187,Ablabesmyia,576337,Ablabesmyia monilis,species,trigram,0.5789473684210527,0,True,
Q50749187,Ablabesmyia,1371663,Ablabesmyia indicus,species,trigram,0.5789473684210527,0,True,
Q138641856,Abrothrix,71812,Abrothrix,genus,exact|trigram,1.0,0,True,
Q138641856,Abrothrix,1431436,Abrothrix,subgenus,exact|trigram,1.0,1,True,
Q138641856,Abrothrix,375501,Abrotheus,genus,trigram,0.6666666666666667,0,True,
Q138641856,Abrothrix,735078,Abrothrichini,tribe,trigram,0.6153846153846154,0,True,
Q138641856,Abrothrix,1104464,Abrothrix hirta,species,trigram,0.6,0,True,
Q138641856,Abrothrix,1106815,Abrothrix manni,species,trigram,0.6,0,True,
Q138641856,Abrothrix,882921,Abrothrix lanosa,species,trigram,0.5625,0,True,
Q138641856,Abrothrix,882919,Abrothrix andina,species,trigram,0.5625,0,True,
Q138641856,Abrothrix,174651,Abrothallus,genus,trigram,0.5454545454545454,0,True,
Q138641856,Abrothrix,791199,Abrothallales,order,trigram,0.46153846153846156,0,True,
